1,Tennessee,SEC,18-3,+29.81,113.5,33,83.7,1,66.8,199,-.011,203,+5.29,55,106.4,69,101.1,54,+3.11,83
2,Houston,Amer,20-2,+29.26,118.1,7,88.9,5,62.9,347,+.016,146,+2.86,96,106.0,83,103.2,113,+0.38,159
3,UCLA,P12,17-4,+26.42,115.2,18,88.8,4,65.6,255,-.020,226,+8.08,17,108.4,17,100.4,28,+1.47,134
4,Purdue,B10,20-1,+25.90,118.9,4,93.0,19,63.5,335,+.036,105,+6.83,33,107.2,39,100.4,29,+1.29,139
5,Alabama,SEC,18-3,+25.21,115.0,19,89.8,6,73.7,2,+.083,44,+10.57,3,109.2,8,98.6,3,+9.32,7
6,Connecticut,BE,16-6,+24.63,117.0,11,92.4,14,67.4,163,-.082,332,+7.37,23,107.2,41,99.9,22,-0.30,183
7,Saint Mary's,WCC,18-4,+23.94,112.7,39,88.8,3,62.2,353,-.060,303,+3.44,88,107.1,46,103.6,135,+3.74,72
8,Marquette,BE,17-5,+23.04,121.4,1,98.3,71,68.7,95,-.077,327,+7.85,19,108.1,21,100.2,26,-0.64,194
9,Texas,B12,17-4,+21.97,117.6,9,95.6,40,69.0,79,+.050,78,+7.03,29,107.0,51,100.0,23,-1.27,218
10,Kansas,B12,16-4,+21.93,114.9,22,93.0,18,68.1,125,+.083,45,+11.24,1,109.2,7,98.0,2,+6.03,32
11,Creighton,BE,13-8,+21.80,115.4,16,93.6,21,68.1,123,-.133,355,+9.19,14,109.0,12,99.8,18,+5.24,43
12,Arizona,P12,19-3,+21.38,116.6,14,95.3,31,72.3,12,+.086,39,+7.53,21,106.8,54,99.3,9,+3.65,74
13,Virginia,ACC,16-3,+20.92,115.3,17,94.4,25,61.6,360,+.040,96,+5.38,54,107.2,42,101.8,70,+1.93,116
14,Baylor,B12,16-5,+20.34,119.7,2,99.3,81,67.0,178,+.060,64,+9.46,9,109.0,11,99.6,14,+1.71,121
15,TCU,B12,16-5,+20.22,112.1,48,91.9,13,70.0,44,-.020,224,+4.78,66,106.3,72,101.5,64,-6.44,336
16,Rutgers,B10,14-6,+20.12,106.8,119,86.6,2,65.2,278,-.068,318,+4.95,62,107.5,33,102.6,90,-7.02,345
17,Gonzaga,WCC,18-4,+19.61,118.9,5,99.3,80,70.2,36,+.069,55,+7.09,27,109.0,10,102.0,74,+9.38,5
18,Iowa St.,B12,15-5,+19.43,110.4,67,91.0,10,64.1,313,+.045,84,+8.88,15,109.9,2,101.0,52,-0.18,178
19,Ohio St.,B10,11-9,+19.04,117.5,10,98.5,73,66.8,200,-.171,363,+7.56,20,107.2,40,99.7,16,-2.21,254
20,West Virginia,B12,13-8,+18.83,115.0,21,96.1,44,68.1,124,-.089,340,+9.48,8,109.1,9,99.6,15,+2.33,106
21,Arkansas,SEC,14-7,+18.68,110.4,66,91.8,12,69.0,76,-.063,309,+6.60,34,107.6,32,101.0,44,+2.81,93
22,Xavier,BE,17-5,+18.49,118.7,6,100.2,97,71.6,20,+.032,111,+9.61,7,109.4,5,99.8,19,+4.52,55
23,Illinois,B10,15-6,+18.42,111.3,54,92.9,16,69.0,75,-.007,195,+5.95,48,106.4,71,100.4,30,-5.01,316
24,Indiana,B10,14-6,+18.38,114.5,27,96.1,42,68.7,93,-.010,201,+5.50,52,107.0,49,101.5,63,-4.35,305
25,Boise St.,MWC,17-5,+18.34,108.9,87,90.6,8,67.0,183,-.038,262,+4.35,71,106.9,53,102.5,88,+1.19,144
26,Kansas St.,B12,18-3,+18.29,113.1,35,94.8,27,68.9,81,+.093,26,+6.23,43,106.0,84,99.8,17,-1.72,235
27,Duke,ACC,15-6,+18.03,113.5,32,95.5,39,65.3,269,+.014,152,+6.14,44,107.8,25,101.7,66,+3.25,81
28,Auburn,SEC,16-5,+17.92,110.8,58,92.9,17,67.7,143,+.012,155,+6.46,36,106.5,67,100.0,24,+4.31,61
29,San Diego St.,MWC,16-4,+17.72,113.1,36,95.3,32,67.3,166,+.039,99,+7.13,25,108.0,23,100.9,41,+6.82,21
30,North Carolina,ACC,15-6,+17.33,114.7,25,97.4,55,68.8,92,-.029,251,+7.07,28,108.0,24,100.9,43,+7.59,16
31,Providence,BE,16-5,+17.33,115.0,20,97.7,59,67.2,170,-.004,188,+3.54,86,105.8,93,102.3,82,-7.75,351
32,Kentucky,SEC,14-6,+17.31,114.8,23,97.5,57,65.4,268,-.000,182,+3.57,83,106.5,66,102.9,99,-2.83,264
33,Maryland,B10,14-7,+16.82,112.3,45,95.5,37,65.5,263,+.006,168,+6.95,31,107.6,29,100.7,34,-2.97,265
34,Memphis,Amer,16-5,+16.06,112.6,42,96.5,46,72.0,14,-.071,321,+5.56,50,106.4,68,100.9,40,+5.91,35
35,Texas A&M,SEC,14-6,+15.70,113.6,31,97.9,62,66.2,223,-.007,196,+3.16,93,104.9,127,101.8,69,-1.64,230
36,Oklahoma St.,B12,11-9,+15.69,105.8,135,90.1,7,67.1,173,-.085,335,+9.35,10,108.7,14,99.4,10,+1.21,143
37,Iowa,B10,12-8,+15.68,117.6,8,101.9,122,69.6,57,-.067,316,+7.87,18,107.1,44,99.3,8,-1.14,215
38,Florida Atlantic,CUSA,21-1,+15.67,112.6,40,97.0,48,67.8,141,+.087,35,-1.05,199,103.3,225,104.4,179,-3.53,284
39,Miami FL,ACC,16-5,+15.62,116.8,12,101.2,108,67.7,142,-.003,186,+4.44,70,106.0,86,101.6,65,-0.96,202
40,Oklahoma,B12,12-9,+15.59,112.8,37,97.2,49,64.1,314,-.045,278,+10.32,4,107.6,30,97.3,1,+4.00,67
41,Michigan St.,B10,14-7,+15.38,110.8,59,95.4,35,64.4,309,+.039,101,+9.96,5,109.8,3,99.9,21,+4.95,51
42,USC,P12,15-6,+15.09,111.7,51,96.6,47,67.3,165,+.039,100,+7.12,26,105.8,92,98.7,4,+0.99,146
43,Northwestern,B10,15-5,+15.06,108.9,88,93.9,23,66.2,224,+.048,81,+4.05,77,105.0,124,101.0,46,-3.81,296
44,New Mexico,MWC,19-3,+14.80,113.1,34,98.3,70,71.3,22,+.012,156,+1.77,112,105.2,117,103.5,124,-2.46,259
45,Liberty,ASun,18-5,+14.78,110.2,69,95.5,36,62.9,345,-.011,204,-3.20,271,103.0,248,106.2,278,+0.98,147
46,Utah,P12,15-8,+14.66,108.5,94,93.8,22,66.4,213,-.041,273,+3.83,79,105.1,123,101.3,58,-5.01,317
