1,Houston,Amer,18-2,+29.70,115.6,15,85.9,2,63.2,343,-.000,170,+2.00,110,105.3,93,103.3,147,+0.74,155
2,Tennessee,SEC,16-3,+28.82,112.6,32,83.8,1,67.1,195,-.016,221,+4.72,60,105.4,89,100.7,47,+1.66,122
3,Alabama,SEC,17-2,+27.89,115.8,13,88.0,5,73.7,4,+.056,78,+9.99,4,108.6,7,98.6,3,+8.23,12
4,UCLA,P12,17-3,+27.67,114.7,21,87.0,4,66.1,244,-.021,231,+7.12,25,107.7,21,100.6,41,+1.04,148
5,Purdue,B10,19-1,+25.77,118.3,4,92.6,16,63.8,331,+.028,117,+6.11,41,106.3,53,100.1,27,+1.15,141
6,Connecticut,BE,16-5,+25.64,116.7,10,91.1,13,67.7,160,-.061,311,+7.18,24,106.5,42,99.4,14,+0.05,168
7,Saint Mary's,WCC,18-4,+24.15,112.5,33,88.4,6,62.6,353,-.060,309,+3.61,79,106.6,40,103.0,124,+3.72,67
8,Marquette,BE,16-5,+22.13,120.2,1,98.1,70,69.1,93,-.076,325,+7.82,16,107.6,22,99.8,21,-0.33,185
9,Texas,B12,17-3,+22.09,116.2,12,94.1,27,69.4,75,+.064,69,+5.56,48,106.2,54,100.6,45,-3.62,284
10,Kansas,B12,16-4,+21.58,114.2,25,92.7,17,68.4,124,+.083,42,+10.94,1,108.7,6,97.8,2,+5.60,39
11,Virginia,ACC,15-3,+21.05,115.0,17,93.9,25,61.6,361,+.045,93,+6.39,34,107.5,25,101.1,62,+1.79,119
12,Iowa St.,B12,15-4,+20.92,110.9,57,89.9,8,64.6,307,+.050,85,+8.26,14,108.8,4,100.5,40,-2.21,249
13,TCU,B12,16-4,+20.59,111.2,52,90.6,10,70.4,46,-.003,182,+3.52,82,105.6,74,102.1,86,-8.89,357
14,Baylor,B12,15-5,+20.34,119.4,2,99.1,92,67.7,161,+.046,91,+8.98,9,108.5,10,99.5,15,-0.04,172
15,Creighton,BE,11-8,+20.15,113.4,29,93.2,21,68.6,116,-.143,359,+9.33,7,108.5,9,99.2,10,+5.64,38
16,Arizona,P12,17-3,+20.14,116.3,11,96.1,45,72.5,11,+.086,37,+6.66,29,105.8,66,99.2,11,+3.33,79
17,Rutgers,B10,14-6,+20.00,106.2,122,86.2,3,65.5,279,-.068,318,+4.85,58,107.0,32,102.2,90,-6.74,340
18,Gonzaga,WCC,17-4,+19.83,118.8,3,99.0,89,70.8,36,+.071,57,+7.72,17,108.7,5,101.0,60,+9.93,5
19,Auburn,SEC,16-3,+19.77,110.8,59,91.0,12,68.0,143,+.020,134,+5.42,49,105.2,101,99.8,20,+2.77,90
20,Indiana,B10,13-6,+18.83,114.9,18,96.0,43,69.2,85,-.027,245,+5.68,47,106.9,35,101.2,69,-4.61,308
21,Ohio St.,B10,11-9,+18.75,117.2,8,98.4,76,67.0,202,-.171,363,+7.32,21,106.4,47,99.1,8,-2.52,256
22,Arkansas,SEC,14-6,+18.73,110.5,61,91.8,15,69.6,63,-.042,270,+5.72,45,106.1,59,100.4,33,+1.12,146
23,Xavier,BE,16-4,+18.29,117.7,7,99.5,96,72.2,14,-.010,197,+7.52,20,107.9,14,100.4,35,+4.32,59
24,North Carolina,ACC,15-6,+17.80,114.5,24,96.7,55,69.0,96,-.029,247,+7.56,19,107.8,19,100.2,28,+8.16,13
25,Kansas St.,B12,17-3,+17.77,113.6,27,95.8,40,69.1,89,+.095,26,+6.16,40,105.7,69,99.6,19,-2.69,259
26,Illinois,B10,14-6,+17.73,111.3,51,93.6,23,69.3,76,-.016,215,+5.40,51,105.7,70,100.3,31,-5.20,317
27,Boise St.,MWC,16-5,+17.65,107.7,100,90.0,9,67.6,167,-.036,257,+4.76,59,106.6,39,101.9,81,+1.41,131
28,West Virginia,B12,11-8,+17.49,113.4,28,95.9,42,68.3,126,-.118,354,+8.54,11,108.5,8,99.9,24,+1.03,149
29,Kentucky,SEC,14-6,+17.43,114.7,22,97.2,57,65.6,271,-.000,171,+3.60,80,105.8,65,102.2,95,-2.73,260
30,San Diego St.,MWC,15-4,+17.28,111.4,49,94.1,26,67.9,148,+.038,101,+6.97,27,107.3,28,100.4,34,+6.85,20
31,Providence,BE,15-5,+16.67,114.5,23,97.9,64,67.5,178,-.001,177,+3.96,73,105.4,90,101.4,74,-7.55,347
32,Duke,ACC,14-6,+16.36,112.5,34,96.1,46,65.6,269,+.021,131,+6.50,32,107.6,24,101.1,63,+3.43,75
33,Memphis,Amer,15-5,+16.27,112.1,39,95.8,41,71.8,20,-.071,323,+6.21,38,106.1,56,99.9,23,+5.89,35
34,Miami FL,ACC,16-4,+15.92,117.1,9,101.2,120,68.0,145,+.020,132,+3.92,74,105.2,98,101.3,71,-1.00,210
35,Iowa,B10,12-7,+15.72,118.1,5,102.3,146,69.9,55,-.043,276,+7.24,23,106.4,48,99.2,12,-0.99,209
36,Michigan St.,B10,13-7,+15.66,111.3,50,95.7,37,64.7,305,+.022,126,+10.10,3,109.2,2,99.1,9,+5.11,46
37,Oklahoma St.,B12,11-9,+15.60,105.5,137,89.9,7,67.4,180,-.085,331,+9.25,8,108.0,12,98.7,4,+1.22,138
38,Florida Atlantic,CUSA,19-1,+15.57,112.2,36,96.6,53,67.8,158,+.092,32,-0.89,207,103.2,205,104.1,184,-3.35,275
39,Maryland,B10,12-7,+15.37,109.9,67,94.6,31,65.9,256,+.002,166,+7.69,18,107.9,13,100.2,29,-2.67,258
40,New Mexico,MWC,18-3,+14.94,112.3,35,97.4,60,71.6,23,+.009,155,+2.05,108,105.0,110,102.9,121,-2.74,261
41,Florida,SEC,11-8,+14.88,106.5,115,91.6,14,69.2,82,-.068,319,+7.32,22,107.9,15,100.6,42,+3.42,76
42,Utah,P12,14-7,+14.45,108.4,91,93.9,24,67.1,198,-.036,261,+3.06,91,104.4,139,101.4,73,-4.89,313
43,Penn St.,B10,13-7,+14.39,113.2,31,98.8,88,65.3,284,-.021,230,+6.06,42,106.7,38,100.6,43,-3.61,283
44,N.C. State,ACC,16-5,+14.29,111.7,43,97.5,61,70.1,51,+.026,119,+2.91,94,106.2,55,103.2,142,-4.63,309
45,Utah St.,MWC,16-4,+14.15,114.9,19,100.7,108,69.4,71,+.065,67,+4.11,69,106.0,61,101.9,80,+3.28,80
46,Virginia Tech,ACC,12-8,+14.08,112.0,41,97.9,65,66.0,245,-.094,343,+5.11,53,106.1,57,101.0,57,-3.22,271
47,Nevada,MWC,16-5,+13.91,111.6,46,97.6,63,65.7,266,+.071,55,+6.80,28,107.4,27,100.6,44,+3.37,78
48,Texas A&M,SEC,13-6,+13.90,111.9,42,98.0,69,66.7,217,-.011,201,+2.01,109,104.1,150,102.1,85,-1.80,233
49,USC,P12,14-6,+13.86,110.0,64,96.1,44,67.8,157,+.040,100,+6.50,31,105.3,96,98.8,5,+1.15,143
50,Oklahoma,B12,11-9,+13.67,111.0,54,97.4,58,64.0,321,-.042,269,+9.64,6,106.9,34,97.3,1,+2.21,107
51,Northwestern,B10,13-5,+13.63,106.5,114,92.9,19,66.4,232,+.049,86,+4.41,64,105.1,106,100.7,48,-3.69,287
52,Oregon,P12,11-9,+13.54,111.7,44,98.1,73,66.8,214,-.036,258,+8.34,12,107.3,29,99.0,7,+5.45,42
53,UCF,Amer,13-6,+13.47,109.1,84,95.6,36,63.6,337,-.042,272,+2.95,92,105.6,73,102.7,112,-0.09,173
54,Colorado,P12,12-9,+13.36,106.4,118,93.0,20,70.1,52,-.085,330,+5.41,50,105.9,63,100.5,38,+2.27,106
55,Missouri,SEC,15-5,+13.31,117.9,6,104.6,196,70.7,39,+.093,31,+4.63,62,105.6,77,101.0,59,-5.47,320
56,Liberty,ASun,16-5,+13.25,109.8,69,96.6,52,62.9,350,-.010,198,-2.90,269,101.9,290,104.8,238,+0.87,153
57,Mississippi St.,SEC,12-7,+13.06,104.0,172,90.9,11,64.0,324,-.014,206,+3.99,72,104.0,158,100.0,25,-5.48,321
58,Clemson,ACC,17-4,+13.03,109.8,71,96.8,56,68.0,147,+.047,87,+1.28,127,104.8,121,103.5,154,-4.89,312
59,Arizona St.,P12,15-5,+12.84,109.1,83,96.3,49,67.5,174,+.098,22,+4.99,55,105.7,72,100.7,46,-0.16,177
60,Michigan,B10,11-8,+12.60,111.0,53,98.4,77,68.2,134,-.045,280,+5.73,44,106.5,44,100.8,50,+1.08,147
61,Dayton,A10,13-7,+12.49,106.0,127,93.5,22,63.8,330,-.059,308,-0.40,177,103.4,192,103.8,169,-1.65,228
62,Seton Hall,BE,12-9,+12.44,105.2,141,92.8,18,66.5,230,-.014,207,+9.75,5,109.0,3,99.2,13,+3.66,70
63,Wisconsin,B10,12-6,+12.42,106.9,111,94.5,30,63.1,344,+.033,109,+7.90,15,108.4,11,100.4,36,+1.47,130
64,Texas Tech,B12,10-9,+12.36,108.8,88,96.4,51,67.3,189,-.116,350,+2.94,93,105.8,68,102.8,118,-7.80,350
65,St. John's,BE,13-7,+12.20,107.9,94,95.7,38,73.8,3,-.016,214,+4.00,71,105.2,103,101.2,66,-5.97,326
