1,Houston,Amer,16-1,31.96,115.2,10,83.3,2,63.6,341,0.018,143,1.30,137,103.5,112,102.2,169,0.07,172
2,Tennessee,SEC,13-2,31.23,111.7,31,80.5,1,67.6,191,-0.016,211,4.15,60,104.1,85,99.9,53,2.67,99
3,Connecticut,BE,15-2,27.55,115.4,9,87.8,4,67.8,184,0.001,174,5.52,28,104.8,47,99.3,33,0.18,169
4,UCLA,P12,14-2,26.64,115.2,11,88.6,6,67.1,223,-0.006,188,4.61,49,105.3,27,100.7,85,0.94,145
5,Kansas,B12,14-1,26.05,115.4,8,89.3,11,68.5,149,0.098,38,9.17,4,106.1,13,96.9,3,6.21,30
6,Purdue,B10,15-1,25.66,118.5,2,92.8,30,64.4,319,0.007,162,5.49,29,105.6,20,100.2,62,1.45,132
7,Alabama,SEC,13-2,24.84,114.0,18,89.1,9,74.1,3,0.064,68,9.22,3,106.6,8,97.4,5,8.16,13
8,Texas,B12,13-2,22.94,114.7,15,91.7,19,69.3,105,0.036,107,0.28,173,103.0,148,102.7,203,-4.89,315
9,Saint Mary's,WCC,14-4,21.57,109.5,51,88.0,5,63.4,346,-0.066,307,3.30,85,104.9,41,101.6,133,3.96,64
10,Arkansas,SEC,12-3,21.39,110.2,42,88.8,7,70.5,54,-0.015,210,3.93,69,103.5,114,99.6,40,0.57,157
11,Arizona,P12,14-2,21.18,117.5,5,96.3,67,72.8,15,0.071,60,5.09,36,103.2,137,98.1,13,3.60,73
12,Ohio St.,B10,10-5,21.13,119.0,1,97.9,90,66.9,231,-0.111,344,5.02,37,104.4,70,99.4,35,-2.40,259
13,Gonzaga,WCC,14-3,20.79,117.7,4,96.9,75,71.1,42,0.095,44,8.79,6,107.6,2,98.8,23,9.33,7
14,Virginia,ACC,11-3,20.63,112.8,23,92.2,21,62.0,361,0.020,138,4.86,46,105.0,38,100.1,60,1.96,118
15,Marquette,BE,13-4,19.84,117.0,6,97.1,78,70.0,70,-0.081,326,5.11,35,105.1,33,100.0,55,0.48,160
16,Rutgers,B10,11-5,19.47,104.4,131,85.0,3,66.6,247,-0.114,345,1.32,135,104.2,80,102.8,211,-6.59,341
17,Creighton,BE,9-7,19.39,111.7,30,92.3,25,69.3,103,-0.151,357,8.72,7,106.3,10,97.6,9,6.71,22
18,Xavier,BE,13-3,18.97,116.2,7,97.2,79,72.7,17,-0.007,189,7.18,13,106.2,12,99.0,30,3.92,65
19,Auburn,SEC,12-3,18.90,108.8,57,89.9,15,67.8,186,0.014,150,5.00,38,104.0,91,99.0,28,2.77,94
20,San Diego St.,MWC,12-3,18.38,110.0,46,91.6,16,69.3,100,0.039,102,6.85,15,105.7,19,98.8,24,7.03,19
21,North Carolina,ACC,11-5,18.32,114.9,13,96.6,70,69.3,101,-0.045,277,7.95,10,106.8,6,98.8,25,8.20,12
22,Indiana,B10,10-5,18.07,112.9,22,94.8,47,70.1,67,-0.055,296,2.18,110,103.9,92,101.8,142,-4.67,309
23,West Virginia,B12,10-5,18.00,111.5,32,93.5,38,68.6,142,-0.073,313,6.17,21,106.3,11,100.1,61,1.42,134
24,Duke,ACC,12-4,17.81,111.5,35,93.6,40,66.1,266,0.043,98,4.61,50,105.3,28,100.7,83,3.83,68
25,Kentucky,SEC,10-5,17.63,112.9,21,95.2,50,65.8,275,-0.014,206,2.61,99,104.7,58,102.0,154,-2.21,254
26,Kansas St.,B12,14-1,17.52,112.4,27,94.9,48,69.7,81,0.117,21,3.05,89,103.0,150,99.9,54,-1.45,225
27,Baylor,B12,10-5,17.50,114.9,14,97.4,84,69.3,98,-0.023,230,4.19,57,105.1,34,100.9,95,-0.07,176
28,Oklahoma St.,B12,9-6,17.00,106.3,98,89.3,10,67.3,211,-0.120,347,5.73,27,104.3,75,98.6,17,1.71,126
29,Iowa St.,B12,12-2,16.97,106.4,95,89.4,12,65.3,296,0.117,20,3.23,86,105.4,26,102.2,166,-2.77,268
30,Providence,BE,14-3,16.58,112.7,24,96.1,64,68.3,158,0.031,117,1.37,134,102.6,173,101.2,109,-7.39,351
31,Oklahoma,B12,10-5,16.49,111.2,38,94.7,46,63.5,345,-0.085,332,6.17,22,103.7,103,97.6,7,2.94,88
32,Illinois,B10,10-5,15.92,109.4,52,93.4,36,70.4,58,-0.040,273,2.89,95,102.9,153,100.1,56,-4.29,300
33,TCU,B12,13-2,15.91,108.2,69,92.3,26,70.4,57,0.049,90,-3.78,311,100.2,317,103.9,281,-9.48,359
34,Maryland,B10,11-5,15.90,109.0,54,93.1,32,67.3,205,0.028,124,5.49,30,105.2,31,99.7,47,-2.15,253
35,N.C. State,ACC,13-4,15.90,111.3,37,95.4,51,70.5,53,-0.002,177,2.32,105,104.0,90,101.6,135,-3.29,278
36,Memphis,Amer,12-4,15.74,109.1,53,93.4,35,72.7,18,-0.081,327,4.48,52,104.1,82,99.7,44,5.45,41
37,UCF,Amer,12-4,15.74,108.0,72,92.3,23,62.7,355,-0.046,279,1.45,132,103.6,110,102.2,167,-0.20,180
38,Florida Atlantic,CUSA,14-1,15.62,111.5,33,95.9,60,67.7,189,0.082,54,-0.37,192,102.7,163,103.1,222,-2.24,256
39,Missouri,SEC,13-2,15.59,118.4,3,102.8,182,71.6,31,0.107,27,-0.60,205,101.5,248,102.1,165,-4.72,311
40,Iowa,B10,10-6,15.39,115.0,12,99.6,117,71.0,43,-0.065,305,5.79,26,104.1,84,98.3,14,-0.53,194
Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,,,,,,,,
41,Texas Tech,B12,10-5,15.25,107.6,78,92.3,24,68.5,147,-0.098,340,-2.80,278,101.6,240,104.4,299,-7.76,353
42,Virginia Tech,ACC,11-5,15.19,110.9,39,95.7,56,66.3,262,-0.079,324,1.78,122,103.1,142,101.3,118,-3.58,282
43,Michigan St.,B10,11-4,15.08,108.6,62,93.6,39,65.3,298,0.057,79,6.66,17,106.6,9,99.9,51,5.12,45
44,Miami FL,ACC,13-2,15.00,114.2,16,99.2,105,69.0,116,0.088,51,2.36,104,102.8,157,100.4,70,-1.71,238
45,Utah St.,MWC,13-3,14.78,112.9,20,98.1,93,70.4,60,0.033,111,3.48,82,103.8,97,100.3,65,2.80,93
46,Mississippi St.,SEC,12-3,14.64,104.1,136,89.5,13,63.8,335,0.092,47,-0.42,195,101.0,285,101.4,124,-5.19,318
47,Colorado,P12,11-6,14.44,107.4,79,92.9,31,70.9,45,-0.074,316,3.30,84,103.2,133,99.9,50,1.87,122
48,Boise St.,MWC,12-4,14.36,104.1,137,89.8,14,67.3,208,-0.018,218,3.06,88,104.7,54,101.7,137,1.44,133
49,Utah,P12,12-5,14.35,106.0,101,91.6,17,68.5,145,-0.051,286,0.93,149,102.3,191,101.4,120,-3.99,296
50,Michigan,B10,9-6,14.12,110.2,41,96.1,63,69.2,106,-0.053,293,4.35,54,104.8,46,100.5,72,1.50,130
51,Wisconsin,B10,11-3,13.85,106.1,99,92.3,22,64.0,330,0.040,99,4.97,39,105.8,17,100.8,92,1.36,136
52,Northwestern,B10,12-3,13.82,102.9,162,89.1,8,66.9,233,0.096,40,1.99,115,103.2,135,101.2,106,-4.01,297
53,Clemson,ACC,13-3,13.82,110.1,43,96.3,66,68.6,139,0.044,96,1.74,124,104.0,89,102.3,173,-3.50,280
54,Penn St.,B10,11-5,13.77,111.3,36,97.5,85,65.7,279,-0.025,234,3.80,72,105.1,35,101.3,115,-3.29,277
55,Dayton,A10,11-5,13.64,105.3,111,91.7,18,63.6,338,-0.027,242,-1.13,229,101.8,229,102.9,219,-1.28,218
56,North Texas,CUSA,13-3,13.49,105.6,107,92.1,20,59.7,363,0.101,36,2.02,113,102.8,158,100.8,91,2.31,107
57,Florida,SEC,8-7,13.32,106.5,90,93.2,34,71.1,41,-0.108,343,4.79,47,105.3,29,100.5,73,2.99,86
58,Oregon,P12,9-7,13.02,108.8,60,95.7,57,67.0,230,-0.011,198,8.15,9,105.6,21,97.5,6,5.27,43
59,Seton Hall,BE,9-8,12.97,105.3,109,92.4,27,67.4,203,-0.075,318,9.47,2,106.8,4,97.3,4,4.12,61
60,Nevada,MWC,14-3,12.86,108.8,59,95.9,61,66.8,238,0.066,67,3.94,68,104.0,88,100.1,59,3.23,80
61,Washington St.,P12,7-10,12.80,109.9,48,97.1,77,64.3,321,-0.183,362,8.93,5,106.7,7,97.8,11,4.20,60
62,Villanova,BE,8-8,12.79,112.7,25,99.9,121,64.0,328,-0.134,350,6.41,18,105.8,16,99.4,37,3.09,82
63,UAB,CUSA,12-4,12.76,112.1,28,99.3,106,73.2,8,-0.073,315,-3.00,283,100.2,315,103.2,231,-3.75,287
64,Arizona St.,P12,13-3,12.62,105.2,112,92.6,29,67.9,178,0.132,12,2.97,93,103.7,106,100.7,87,-0.19,179
65,USC,P12,11-5,12.60,108.3,68,95.7,55,68.6,137,0.026,129,4.62,48,103.2,126,98.6,19,1.98,117
66,Iona,MAAC,11-5,11.96,108.4,66,96.4,68,69.8,78,-0.052,289,0.80,154,102.8,156,102.0,152,4.22,59
67,Pittsburgh,ACC,11-5,11.94,110.6,40,98.7,100,67.8,181,0.038,103,3.04,90,104.4,69,101.4,119,-3.80,290
68,New Mexico,MWC,14-2,11.48,110.0,45,98.5,96,72.5,20,0.014,149,-1.13,228,102.1,203,103.2,232,-3.92,293
69,Texas A&M,SEC,10-5,11.41,109.8,50,98.4,94,67.4,200,-0.012,200,0.39,168,101.7,234,101.3,117,-1.42,223
70,Liberty,ASun,12-5,11.20,108.5,64,97.3,81,63.2,350,-0.040,274,-2.07,261,100.5,300,102.6,193,0.18,170
71,UNLV,MWC,12-3,10.71,105.1,115,94.4,43,70.2,66,-0.033,259,1.87,119,102.4,184,100.6,74,-1.24,217
72,Kent St.,MAC,12-3,10.42,103.9,146,93.4,37,69.6,86,-0.026,236,-0.68,208,102.2,201,102.9,214,1.73,125
73,St. John's,BE,11-6,10.38,107.7,76,97.4,82,74.1,2,-0.013,203,1.77,123,102.6,171,100.8,93,-6.65,343
74,Cincinnati,Amer,11-6,10.14,108.0,74,97.8,89,69.5,88,-0.011,199,0.38,169,103.5,111,103.2,229,-3.74,285
75,BYU,WCC,13-6,10.03,102.6,173,92.5,28,70.6,52,-0.021,226,2.26,108,103.0,152,100.7,81,2.23,110
76,Saint Louis,A10,10-6,9.68,111.5,34,101.8,152,69.5,93,0.016,145,3.83,71,102.5,177,98.7,21,4.76,52
77,Bradley,MVC,11-6,9.51,102.7,169,93.2,33,65.5,290,-0.039,269,-0.51,201,101.1,279,101.6,132,0.75,151
78,Mississippi,SEC,8-7,9.51,104.6,128,95.1,49,66.3,259,-0.041,275,4.92,42,104.5,61,99.6,42,-0.38,187
79,Oral Roberts,Sum,13-3,9.48,113.1,19,103.6,200,71.5,32,0.121,18,0.90,151,102.4,187,101.5,128,6.74,21
80,LSU,SEC,12-3,9.44,106.0,100,96.6,71,67.3,209,0.058,77,-1.83,253,101.8,228,103.6,260,-6.76,344
Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,,,,,,,,
81,Marshall,SB,13-4,9.43,108.4,65,99.0,102,71.4,36,-0.094,338,-4.16,317,101.1,272,105.3,341,-4.58,306
82,Sam Houston St.,WAC,12-4,9.42,103.8,148,94.4,42,66.7,240,0.026,127,5.82,25,104.5,62,98.7,20,7.37,16
83,Butler,BE,10-7,9.30,105.1,114,95.8,58,67.2,219,0.016,146,6.41,19,105.4,24,99.0,29,2.19,114
84,Charleston,CAA,16-1,9.14,107.7,77,98.6,97,71.3,37,0.126,15,-1.06,224,103.3,118,104.4,300,0.68,153
85,Nebraska,B10,9-7,9.13,103.8,150,94.6,44,65.5,289,0.014,151,7.47,12,106.8,5,99.4,34,2.70,96
86,Wake Forest,ACC,11-5,8.87,109.8,49,100.9,138,69.3,97,0.082,53,3.63,77,103.3,123,99.7,43,-0.99,212
87,Santa Clara,WCC,14-5,8.69,107.3,83,98.6,98,70.0,71,0.071,61,3.21,87,104.5,66,101.2,113,1.13,141
88,Tulane,Amer,10-5,8.37,108.9,56,100.5,132,72.5,21,-0.071,310,-3.19,293,101.4,255,104.6,310,-6.63,342
89,James Madison,SB,11-6,7.80,104.0,140,96.2,65,71.9,27,-0.153,358,-3.47,300,100.1,322,103.6,258,-4.83,314
90,Syracuse,ACC,10-6,7.68,107.3,82,99.6,115,67.2,217,-0.006,185,-1.15,231,102.6,169,103.8,268,-4.34,301
91,Utah Valley,WAC,13-4,7.66,104.5,129,96.9,73,68.3,155,0.048,93,0.99,146,102.5,178,101.5,130,3.52,75
92,Yale,Ivy,11-5,7.50,104.0,142,96.5,69,66.5,250,-0.080,325,-3.23,296,98.5,351,101.7,140,-0.59,197
93,Georgia,SEC,11-4,7.41,105.2,113,97.8,88,67.2,216,-0.006,186,-3.32,298,101.6,242,104.9,322,-6.44,339
94,UC Irvine,BW,10-5,7.06,106.5,92,99.4,110,69.5,92,-0.036,264,2.58,100,102.7,166,100.1,58,4.11,62
95,Stanford,P12,5-10,7.02,106.5,93,99.4,111,66.6,244,-0.191,363,6.96,14,104.7,56,97.7,10,3.58,74
96,Drake,MVC,12-5,6.93,102.8,167,95.9,59,68.0,176,0.033,113,-0.52,202,102.0,215,102.5,190,-0.42,189
97,UC Santa Barbara,BW,12-2,6.66,104.6,126,97.9,91,65.7,278,0.056,81,-4.27,319,100.2,318,104.4,302,-4.03,298
98,Vanderbilt,SEC,8-7,6.59,106.4,94,99.8,119,66.4,255,-0.063,302,1.54,130,102.7,162,101.2,108,0.89,148
99,Furman,SC,12-5,6.37,109.0,55,102.6,176,69.5,90,-0.034,261,-3.83,313,101.4,256,105.2,338,-1.50,226
100,San Francisco,WCC,12-7,6.34,105.8,103,99.5,113,69.6,84,-0.021,227,0.27,174,101.4,261,101.1,103,-2.72,266
101,Richmond,A10,9-7,6.31,103.6,152,97.3,80,64.7,315,-0.065,306,-1.12,227,103.4,117,104.5,307,-1.73,240
102,Charlotte,CUSA,11-5,6.30,106.6,88,100.3,129,60.2,362,0.006,163,-2.19,267,101.5,250,103.7,263,-5.97,334
103,Toledo,MAC,10-5,6.29,114.2,17,107.9,288,72.9,14,-0.005,180,-1.26,233,102.0,212,103.3,235,0.11,171
104,Grand Canyon,WAC,11-5,6.14,104.1,138,97.9,92,64.8,313,0.034,110,1.19,139,101.5,247,100.4,67,-0.07,177
105,Colorado St.,MWC,9-8,6.12,109.9,47,103.8,209,67.1,224,-0.064,303,2.96,94,103.3,121,100.3,66,1.28,139
106,Princeton,Ivy,12-4,6.11,105.8,105,99.7,118,67.6,196,-0.033,260,-4.17,318,100.2,314,104.4,298,-4.62,307
107,Indiana St.,MVC,13-4,6.11,106.6,89,100.5,131,71.9,28,-0.034,262,-5.58,337,98.9,344,104.5,305,-5.86,331
108,Loyola Marymount,WCC,12-6,6.04,105.4,108,99.4,108,68.3,156,0.018,142,1.28,138,103.7,104,102.4,187,0.57,156
109,Colgate,Pat,9-7,5.63,112.5,26,106.9,272,68.1,168,-0.117,346,-2.89,281,101.1,274,104.0,284,-0.97,211
110,Washington,P12,9-8,5.62,102.6,171,97.0,76,69.0,120,0.018,141,4.97,40,103.9,95,98.9,27,-0.77,202
111,George Mason,A10,10-6,5.61,104.9,120,99.3,107,66.3,261,-0.006,187,-0.49,198,102.9,154,103.4,245,-0.61,198
112,VCU,A10,11-5,5.50,100.9,206,95.4,52,69.9,76,0.019,140,-2.84,279,100.7,295,103.5,252,-3.17,275
113,UNC Wilmington,CAA,14-3,5.48,105.1,116,99.6,116,65.5,288,0.214,1,0.22,179,102.0,209,101.8,144,5.83,35
114,Duquesne,A10,12-5,5.20,108.6,63,103.4,196,67.0,227,0.071,62,-1.51,241,102.7,167,104.2,293,-3.62,283
115,Florida Gulf Coast,ASun,13-4,5.16,106.3,97,101.2,141,66.9,232,0.152,6,-0.70,211,101.4,253,102.1,164,1.82,124
116,Wichita St.,Amer,8-8,5.00,99.7,236,94.7,45,65.2,301,-0.086,334,1.07,142,102.5,183,101.4,121,-0.91,208
117,Southern Illinois,MVC,12-5,4.85,99.2,246,94.3,41,63.7,336,0.062,69,-1.53,242,101.4,260,102.9,216,-2.76,267
118,Hawaii,BW,12-4,4.34,100.4,218,96.1,62,65.2,300,-0.024,233,-5.52,335,99.0,338,104.5,308,-5.71,328
119,Missouri St.,MVC,8-8,4.25,103.7,151,99.4,109,63.6,342,-0.085,331,1.96,117,102.3,190,100.4,68,3.64,72
120,Hofstra,CAA,10-7,4.14,107.2,84,103.1,190,68.2,159,0.067,66,3.97,67,104.4,71,100.4,69,7.92,14
Strength of Schedule,NCSOS,,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,,,,,,,,
121,Cornell,Ivy,12-4,4.01,108.7,61,104.7,226,71.2,38,-0.020,222,-3.79,312,101.2,268,105.0,326,-4.21,299
122,Quinnipiac,MAAC,12-5,3.97,104.3,134,100.3,128,69.7,82,-0.030,250,-3.17,291,100.2,316,103.3,241,-2.88,271
123,Louisiana,SB,12-4,3.91,107.8,75,103.9,210,69.2,107,0.096,41,-0.31,191,101.8,230,102.1,158,0.25,165
124,Longwood,BSth,12-5,3.87,105.9,102,102.0,156,66.9,234,-0.008,193,-6.17,347,100.2,312,106.4,356,-5.60,322
125,Southern Miss,SB,14-3,3.73,102.8,168,99.0,103,68.1,165,0.029,122,-3.08,286,101.5,246,104.6,314,-3.79,289
126,Akron,MAC,9-6,3.73,102.8,166,99.1,104,65.2,304,-0.019,221,-0.48,197,101.4,254,101.9,145,0.32,162
127,Notre Dame,ACC,8-8,3.70,108.4,67,104.7,225,63.9,334,0.000,176,1.30,136,103.9,94,102.6,194,-2.41,260
128,Youngstown St.,Horz,12-5,3.61,111.8,29,108.2,293,68.9,124,-0.086,333,-6.07,346,99.1,336,105.2,334,-4.67,308
129,Montana St.,BSky,10-7,3.47,101.2,197,97.8,87,67.7,188,-0.024,232,0.72,158,104.3,76,103.6,254,3.90,66
130,Georgia Tech,ACC,8-7,3.30,102.9,165,99.5,114,67.8,187,0.008,161,4.51,51,105.2,30,100.7,84,-1.51,227
131,Troy,SB,11-6,3.23,103.1,159,99.8,120,68.1,162,-0.077,321,-0.22,185,102.1,205,102.3,178,0.55,158
132,Middle Tennessee,CUSA,9-7,3.17,102.6,172,99.5,112,67.8,182,-0.026,237,1.59,129,104.4,67,102.9,213,2.39,103
133,San Jose St.,MWC,11-6,2.98,104.9,121,101.9,153,63.3,348,0.102,34,1.99,116,103.2,132,101.2,110,-1.52,228
134,Davidson,A10,9-7,2.94,105.0,118,102.1,161,67.3,213,0.020,137,0.94,147,102.7,164,101.8,141,-0.39,188
135,Belmont,MVC,11-6,2.80,106.5,91,103.7,207,68.6,138,0.061,72,-0.27,188,101.7,233,102.0,149,0.36,161
136,Temple,Amer,9-8,2.74,104.5,130,101.7,151,66.6,245,0.027,126,2.03,111,102.2,196,100.2,63,1.04,144
137,UNC Greensboro,SC,9-8,2.73,98.3,263,95.5,53,67.2,218,-0.027,241,1.44,133,104.8,51,103.3,240,2.39,104
138,Wyoming,MWC,5-10,2.70,108.1,70,105.4,245,64.2,322,-0.172,360,1.66,127,101.7,232,100.1,57,-0.66,201
139,Ball St.,MAC,11-4,2.59,107.4,80,104.8,231,67.1,226,-0.035,263,-2.31,271,101.6,241,103.9,278,-3.78,288
140,Seattle,WAC,12-4,2.41,102.6,170,100.2,127,69.3,99,0.132,13,-1.49,240,101.6,238,103.1,227,-0.34,185
141,Chattanooga,SC,10-7,2.35,108.8,58,106.5,265,67.2,215,-0.053,290,0.26,176,102.0,213,101.7,139,1.89,120
